,Day,Date,VenueType,team2,score,result,OT,Location,Venue,Attendance,team1,season,score2,score1
782,Sat,2/23/1985,A,TampaBayBandits,7-35,L,,"Tampa, FL",Tampa Stadium,45095,OrlandoRenegades,1985.0,35.0,7.0
828,Sun,2/24/1985,A,OaklandInvaders,10-31,L,,"Oakland, CA",Oakland-Alameda County Coliseum,23622,DenverGold,1985.0,31.0,10.0
932,Sun,2/24/1985,H,HoustonGamblers,33-34,L,,"Los Angeles, CA",Memorial Coliseum,18828,LosAngelesExpress,1985.0,34.0,33.0
892,Sun,2/24/1985,A,ArizonaOutlaws,7-9,L,,"Tempe, AZ",Sun Devil Stadium,20351,PortlandBreakers,1985.0,9.0,7.0
668,Sun,2/24/1985,A,BirminghamStallions,28-38,L,,"Birmingham, AL",Legion Field,34785,NewJerseyGenerals,1985.0,38.0,28.0
762,Sun,2/24/1985,H,BaltimoreStars,22-14,W,,"Jacksonville, FL",Gator Bowl,51045,JacksonvilleBulls,1985.0,14.0,22.0
912,Mon,2/25/1985,H,MemphisShowboats,3-20,L,,"San Antonio, TX",Alamo Stadium,10983,SanAntonioGunslingers,1985.0,20.0,3.0
494,Sun,2/26/1984,H,NewOrleansBreakers,10-13,L,,"San Antonio, TX",Alamo Stadium,18233,SanAntonioGunslingers,1984.0,13.0,10.0
450,Sun,2/26/1984,A,TampaBayBandits,17-20,L,,"Tampa, FL",Tampa Stadium,42915,HoustonGamblers,1984.0,20.0,17.0
430,Sun,2/26/1984,H,WashingtonFederals,53-14,W,,"Jacksonville, FL",Gator Bowl,49392,JacksonvilleBulls,1984.0,14.0,53.0
514,Sun,2/26/1984,H,PittsburghMaulers,7-3,W,,"Tulsa, OK",Skelly Stadium,15937,OklahomaOutlaws,1984.0,3.0,7.0
410,Sun,2/26/1984,H,PhiladelphiaStars,9-17,L,,"Memphis, TN",Liberty Bowl,28098,MemphisShowboats,1984.0,17.0,9.0
343,Sun,2/26/1984,H,NewJerseyGenerals,6-17,L,,"Birmingham, AL",Legion Field,62300,BirminghamStallions,1984.0,17.0,6.0
624,Sun,2/26/1984,A,ArizonaWranglers,7-35,L,,"Tempe, AZ",Sun Devil Stadium,29176,OaklandInvaders,1984.0,35.0,7.0
604,Sun,2/26/1984,A,LosAngelesExpress,27-10,W,,"Los Angeles, CA",Memorial Coliseum,32082,DenverGold,1984.0,10.0,27.0
